title,url,venue,database_searched,field,year,total_search_hits,industry_1st_author,micro_view,macro_view
Improving the Sensitivity of Online Controlled Experiments: Case Studies at Netflix,https://dl.acm.org/doi/10.1145/2939672.2939733,KDD,ACM Digital Library,Computer Science,2016,,1,1,0
Learning Sensitive Combinations of A/B Test Metrics,https://dl.acm.org/doi/10.1145/3018661.3018708,WSDM,ACM Digital Library,Computer Science,2017,,1,1,0
Objective Bayesian Two Sample Hypothesis Testing for Online Controlled Experiments,https://dl.acm.org/doi/abs/10.1145/2740908.2742563?casa_token=CrjT3gUkK8EAAAAA:THfpDQx1JjB3jCjR6DUQnt4Sbh-kUwxI5pMorhusgyowCuYoXyUuVRZKF3GZhScN3tdaS53CeHWM,WWW,ACM Digital Library,Computer Science,2015,,1,1,0
Using the Delay in a Treatment Effect to Improve Sensitivity and Preserve Directionality of Engagement Metrics in A/B Experiments,https://dl.acm.org/doi/10.1145/3038912.3052664,WWW,ACM Digital Library,Computer Science,2017,,1,1,0
A/B Testing at Scale: Accelerating Software Innovation,https://dl.acm.org/doi/10.1145/3077136.3082060,SIGIR,ACM Digital Library,Computer Science,2017,,1,1,0
A Dirty Dozen: Twelve Common Metric Interpretation Pitfalls in Online Controlled Experiments,https://dl.acm.org/doi/10.1145/3097983.3098024,KDD,ACM Digital Library,Computer Science,2017,2466,1,1,0
Detecting Network Effects: Randomizing Over Randomized Experiments,https://dl.acm.org/doi/10.1145/3097983.3098192,KDD,ACM Digital Library,Computer Science,2017,,0,1,0
"Peeking at A/B Tests: Why it matters, and what to do about it",https://dl.acm.org/doi/10.1145/3097983.3097992,KDD,ACM Digital Library,Computer Science,2017,,0,1,0
Offline A/B Testing for Recommender Systems,https://dl.acm.org/doi/10.1145/3159652.3159687,WSDM,ACM Digital Library,Computer Science,2018,,1,1,0
Consistent Transformation of Ratio Metrics for Efficient Online Controlled Experiments,https://dl.acm.org/doi/10.1145/3159652.3159699,WSDM,ACM Digital Library,Computer Science,2018,,1,1,0
Applying the Delta Method in Metric Analytics: A Practical Guide with Novel Ideas,https://dl.acm.org/doi/10.1145/3219819.3219919,KDD,ACM Digital Library,Computer Science,2018,,1,1,0
False Discovery Rate Controlled Heterogeneous Treatment Effect Detection for Online Controlled Experiments,https://dl.acm.org/doi/10.1145/3219819.3219860,KDD,ACM Digital Library,Computer Science,2018,,0,1,0
"SQR: Balancing Speed, Quality and Risk in Online Experiments",https://dl.acm.org/doi/10.1145/3219819.3219875,KDD,ACM Digital Library,Computer Science,2018,,1,1,0
Winner's Curse: Bias Estimation for Total Effects of Features in Online Controlled Experiments,https://dl.acm.org/doi/10.1145/3219819.3219905,KDD,ACM Digital Library,Computer Science,2018,,1,1,0
Beyond A/B Testing: Sequential Randomization for Developing Interventions in Scaled Digital Learning Environments,https://dl.acm.org/doi/10.1145/3303772.3303812,LAK,ACM Digital Library,Computer Science,2019,,0,1,0
How A/B Tests Could Go Wrong: Automatic Diagnosis of Invalid Online Experiments,https://dl.acm.org/doi/10.1145/3289600.3291000,WSDM,ACM Digital Library,Computer Science,2019,,1,1,0
On Heavy-user Bias in A/B Testing,https://dl.acm.org/doi/10.1145/3357384.3358143,CIKM,ACM Digital Library,Computer Science,2019,,0,1,0
Experimentation Pitfalls to Avoid in A/B Testing for Online Personalization,https://dl.acm.org/doi/10.1145/3314183.3323853,UMAP,ACM Digital Library,Computer Science,2019,,0,1,0
Safe velocity: a practical guide to software deployment at scale using controlled rollout,https://dl.acm.org/doi/10.1109/ICSE-SEIP.2019.00010,ICSE-SEIP,ACM Digital Library,Computer Science,2019,,1,1,0
"A Sequential Test for Selecting the Better Variant: Online A/B testing, Adaptive Allocation, and Continuous Monitoring",https://dl.acm.org/doi/10.1145/3289600.3291025,WSDM,ACM Digital Library,Computer Science,2019,,0,1,0
Continuous A/B Testing in Containers,https://dl.acm.org/doi/10.1145/3318236.3318254,ICGDA,ACM Digital Library,Computer Science,2019,,1,1,0
Diagnosing Sample Ratio Mismatch in Online Controlled Experiments: A Taxonomy and Rules of Thumb for Practitioners,https://dl.acm.org/doi/10.1145/3292500.3330722,KDD,ACM Digital Library,Computer Science,2019,,1,1,0
Shrinkage Estimators in Online Experiments,https://dl.acm.org/doi/10.1145/3292500.3330771,KDD,ACM Digital Library,Computer Science,2019,,1,1,0
The Identification and Estimation of Direct and Indirect Effects in A/B Tests through Causal Mediation Analysis,https://dl.acm.org/doi/10.1145/3292500.3330769,KDD,ACM Digital Library,Computer Science,2019,,1,1,0
Variance-Weighted Estimators to Improve Sensitivity in Online Experiments,https://dl.acm.org/doi/10.1145/3391403.3399542,EC,ACM Digital Library,Computer Science,2020,,1,1,0
Causal Meta-Mediation Analysis: Inferring Dose-Response Function From Summary Statistics of Many Randomized Experiments,https://dl.acm.org/doi/10.1145/3394486.3403313,KDD,ACM Digital Library,Computer Science,2020,,0,1,0
A Counterfactual Framework for Seller-Side A/B Testing on Marketplaces,https://dl.acm.org/doi/10.1145/3397271.3401434,SIGIR,ACM Digital Library,Computer Science,2020,,1,1,0
Important Experimentation Characteristics: An Expert Survey,https://dl.acm.org/doi/10.1145/3475716.3484186,ESEM,ACM Digital Library,Computer Science,2021,,0,1,0
Online Experimentation with Surrogate Metrics: Guidelines and a Case Study,https://dl.acm.org/doi/10.1145/3437963.3441737,WSDM,ACM Digital Library,Computer Science,2021,,1,1,0
Network Experimentation at Scale,https://dl.acm.org/doi/10.1145/3447548.3467091,KDD,ACM Digital Library,Computer Science,2021,,1,1,0
On Post-selection Inference in A/B Testing,https://dl.acm.org/doi/10.1145/3447548.3467129,KDD,ACM Digital Library,Computer Science,2021,,1,1,0
Towards the D-Optimal Online Experiment Design for Recommender Selection,https://dl.acm.org/doi/10.1145/3447548.3467192,KDD,ACM Digital Library,Computer Science,2021,,1,1,0
Trustworthy and Powerful Online Marketplace Experimentation with Budget-split Design,https://dl.acm.org/doi/10.1145/3447548.3467193,KDD,ACM Digital Library,Computer Science,2021,,1,1,0
"We need to get rid of significance in A/B testing, seriously!",https://interactions.acm.org/archive/view/march-april-2022/we-need-to-get-rid-of-significance-in-a-b-testing-seriously,Interactions,ACM Digital Library,Industry,2022,,1,1,0
The Lifecycle of Developing Overall Evaluation Criterion in AB Testing for Netflix Messaging,https://dl.acm.org/doi/10.1145/3530019.3534980,EASE,ACM Digital Library,Computer Science,2022,,1,1,0
Debiased Balanced Interleaving at Amazon Search,https://dl.acm.org/doi/10.1145/3511808.3557123,CIKM,ACM Digital Library,Computer Science,2022,,1,1,0
Challenges in applying continuous experimentation: a practitioners' perspective,https://dl.acm.org/doi/10.1145/3510457.3513052,ICSE-SEIP,ACM Digital Library,Computer Science,2022,,0,1,0
A Cluster-Based Nearest Neighbor Matching Algorithm for Enhanced A/A Validation in Online ExperimentatioN,https://dl.acm.org/doi/10.1145/3487553.3524220,WWW,ACM Digital Library,Computer Science,2022,,1,1,0
Beaconnect: continuous web performance A/B testing at scale,https://dl.acm.org/doi/10.14778/3554821.3554833,VLDB,ACM Digital Library,Computer Science,2022,,1,1,0
Ensure A/B Test Quality at Scale with Automated Randomization Validation and Sample Ratio Mismatch Detection,https://dl.acm.org/doi/10.1145/3511808.3557087,CIKM,ACM Digital Library,Computer Science,2022,,1,1,0
Multi Armed Bandit vs. A/B Tests in E-commerce - Confidence Interval and Hypothesis Test Power Perspectives,https://dl.acm.org/doi/10.1145/3534678.3539144,KDD,ACM Digital Library,Computer Science,2022,,1,1,0
Non-stationary A/B Tests,https://dl.acm.org/doi/10.1145/3534678.3539325,KDD,ACM Digital Library,Computer Science,2022,,0,1,0
Zero to Hero: Exploiting Null Effects to Achieve Variance Reduction in Experiments with One-sided Triggering,https://dl.acm.org/doi/10.1145/3539597.3570413,WSDM,ACM Digital Library,Computer Science,2023,,1,1,0
Interleaved Online Testing in Large-Scale Systems,https://dl.acm.org/doi/10.1145/3543873.3587572,WWW,ACM Digital Library,Computer Science,2023,,1,1,0
Near-Optimal Experimental Design Under the Budget Constraint in Online Platforms,https://dl.acm.org/doi/10.1145/3543507.3583528,WWW,ACM Digital Library,Computer Science,2023,,0,1,0
The Price is Right: Removing A/B Test Bias in a Marketplace of Expirable Goods,https://dl.acm.org/doi/10.1145/3583780.3615502,CIKM,ACM Digital Library,Computer Science,2023,,1,1,0
All about Sample-Size Calculations for A/B Testing: Novel Extensions & Practical Guide,https://dl.acm.org/doi/10.1145/3583780.3614779,CIKM,ACM Digital Library,Computer Science,2023,,1,1,0
Detecting Interference in Online Controlled Experiments with Increasing Allocation,https://dl.acm.org/doi/10.1145/3580305.3599308,KDD,ACM Digital Library,Computer Science,2023,,0,1,0
Experimentation Platforms Meet Reinforcement Learning: Bayesian Sequential Decision-Making for Continuous Monitoring,https://dl.acm.org/doi/10.1145/3580305.3599818,KDD,ACM Digital Library,Computer Science,2023,,1,0,1
Variance Reduction Using In-Experiment Data: Efficient and Targeted Online Measurement for Sparse and Delayed Outcomes,https://dl.acm.org/doi/10.1145/3580305.3599928,KDD,ACM Digital Library,Computer Science,2023,,1,1,0
Experimentation Everywhere and Every Day: Running A/B Testing in Corporate Environments,https://dl.acm.org/doi/10.1145/3636447,Interactions,ACM Digital Library,Industry,2024,706,1,1,0
Large-Scale Metric Computation in Online Controlled Experiment Platform,https://dl.acm.org/doi/10.14778/3685800.3685823,,ACM Digital Library,Computer Science,2024,,1,1,0
Metric Decomposition in A/B Tests,https://dl.acm.org/doi/10.1145/3637528.3671556,KDD,ACM Digital Library,Computer Science,2024,,1,1,0
Sequential Optimum Test with Multi-armed Bandits for Online Experimentation,https://dl.acm.org/doi/10.1145/3627673.3680040,CIKM,ACM Digital Library,Computer Science,2024,,0,1,0
Automating Pipelines of A/B Tests with Population Split Using Self-Adaptation and Machine Learning,https://dl.acm.org/doi/10.1145/3643915.3644087,SEAMS,ACM Digital Library,Computer Science,2024,,0,1,0
Choosing a Proxy Metric from Past Experiments,https://dl.acm.org/doi/10.1145/3637528.3671543,KDD,ACM Digital Library,Computer Science,2024,,1,1,0
False Positives in A/B Tests,https://dl.acm.org/doi/10.1145/3637528.3671631,KDD,ACM Digital Library,Computer Science,2024,,1,1,0
Learning Metrics that Maximise Power for Accelerated A/B-Tests,https://dl.acm.org/doi/10.1145/3637528.3671512,KDD,ACM Digital Library,Computer Science,2024,,1,1,0
Variance Reduction in Ratio Metrics for Efficient Online Experiments,https://dl.acm.org/doi/10.1007/978-3-031-56069-9_34,ECIR,ACM Digital Library,Computer Science,2024,,1,1,0
STATE: A Robust ATE Estimator of Heavy-Tailed Metrics for Variance Reduction in Online Controlled Experiments,https://dl.acm.org/doi/10.1145/3637528.3672352,KDD,ACM Digital Library,Computer Science,2024,,1,1,0
Reducing Symbiosis Bias through Better A/B Tests of Recommendation Algorithms,https://dl.acm.org/doi/10.1145/3696410.3714738,WWW,ACM Digital Library,Computer Science,2025,,1,1,0
Producer-Side Experiments Based on Counterfactual Interleaving Designs for Online Recommender Systems,https://dl.acm.org/doi/10.1145/3690624.3709428,KDD,ACM Digital Library,Computer Science,2025,,1,1,0
Know When to Fold: Futility-Aware Early Termination in Online Experiments,https://dl.acm.org/doi/10.1145/3701716.3715241,WWW,ACM Digital Library,Computer Science,2025,,1,1,0
A/B Test and Online Experiment Under Diminishing Marginal Effects: Regret Minimization and Statistical Inference,https://dl.acm.org/doi/10.1145/3711896.3736826,KDD,ACM Digital Library,Computer Science,2025,,0,1,0
A/B Testing Intuition Busters: Common Misunderstandings in Online Controlled Experiments,https://dl.acm.org/action/doSearch?AllField=%28%22A%2FB+test%22+OR+%22A%2FB+testing%22+OR+bandit*%29+AND+%28decision*%29&ConceptID=119664&expand=all&ContentItemType=research-article&startPage=2&pageSize=20,KDD,ACM Digital Library,Computer Science,2025,,1,1,0
Evaluating Decision Rules Across Many Weak Experiments,https://dl.acm.org/doi/10.1145/3711896.3737217,KDD,ACM Digital Library,Computer Science,2025,,1,0,1
"Experimenting, Fast and Slow: Bayesian Optimization of Long-term Outcomes with Online Experiments",https://dl.acm.org/doi/10.1145/3690624.3709419,KDD,ACM Digital Library,Computer Science,2025,,1,1,0
Harnessing the Power of Interleaving and Counterfactual Evaluation for Airbnb Search Ranking,https://dl.acm.org/doi/10.1145/3711896.3737232,KDD,ACM Digital Library,Computer Science,2025,,1,1,0
Online Evaluation Methods for the Causal Effect of Recommendations,https://dl.acm.org/doi/10.1145/3460231.3474235,RecSys,ACM Digital Library,Computer Science,2021,,0,1,0
Learning from Experiments When Context Matters,https://www.aeaweb.org/articles?id=10.1257/aer.p20151016&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=experiment&JelClass%5Bvalue%5D=C&journal=1&page=6&per-page=21&from=j,AER,AEA,Economics,2015,,0,1,0
Attention Discrimination: Theory and Field Experiments with Monitoring Information Acquisition,https://www.aeaweb.org/articles?id=10.1257/aer.20140571&ArticleSea,AER,AEA,Economics,2016,,0,1,0
What Can We Learn from Experiments? Understanding the Threats to the Scalability of Experimental Results,https://www.aeaweb.org/articles?id=10.1257/aer.p20171115&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=treatment&JelClass%5Bvalue%5D=C&journal=&from=a&page=2&per-page=21&from=j,AER,AEA,Economics,2017,,0,1,0
Empirical Bayes Estimation of Treatment Effects with Many A/B Tests: An Overview,https://www.aeaweb.org/articles?id=10.1257/pandp.20191003&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=treatment&JelClass%5Bvalue%5D=C&journal=&from=a&from=j,AEA Papers and Proceedings,AEA,Economics,2019,327,0,0,1
"A Theory of Experimenters: Robustness, Randomization, and Balance",https://www.aeaweb.org/articles?id=10.1257/aer.20171634&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=experiment&JelClass%5Bvalue%5D=C&journal=1&page=3&per-page=21&from=j,American Economic Journal: Microeconomics,AEA,Economics,2021,,0,0,1
Strategic Experimentation with Congestion,https://www.aeaweb.org/articles?id=10.1257/mic.20170187&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=bandit&JelClass%5Bvalue%5D=C&journal=&from=a&from=j,American Economic Journal: Microeconomics,AEA,Economics,2021,,0,1,0
Optimality of Matched-Pair Designs in Randomized Controlled Trials,https://www.aeaweb.org/articles?id=10.1257/aer.20201856&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=randomized&JelClass%5Bvalue%5D=C&journal=&from=a&from=j,AER,AEA,Economics,2022,,0,1,0
Experimentation in Networks,https://www.aeaweb.org/articles?id=10.1257/aer.20230233&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=experiment&JelClass%5Bvalue%5D=0&journal=1&page=2&per-page=21&from=j,AER,AEA,Economics,2024,,0,0,1
Treatment Effects in Market Equilibrium,https://www.aeaweb.org/articles?id=10.1257/aer.20230039&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bq%5D=experiment&JelClass%5Bvalue%5D=C&journal=1&from=j,AER,AEA,Economics,2025,,0,1,0
A Prescriptive Analytics Framework for Optimal Policy Deployment Using Heterogeneous Treatment Effects,https://aisel.aisnet.org/misq/vol45/iss4/10/,MISQ,AIS eLibrary,Information Systems,2020,1002,0,1,0
Theories in Flux: Reimagining Theory Building in the Age of Machine Learning,https://mason.wm.edu/news/2021/pdfs/misq-21-tremblay-kohli-forsgren-provocations.pdf,MISQ,AIS eLibrary,Information Systems,2021,,0,0,1
The Critical Challenge of using Large-Scale Digital Experiment Platforms for Scientific Discovery,https://aisel.aisnet.org/misq/vol49/iss1/5/,MISQ,AIS eLibrary,Information Systems,2025,,0,0,1
Continuous Monitoring of A/B Tests without Pain: Optional Stopping in Bayesian Testing,https://arxiv.org/pdf/1602.05549,ArXiV,ArXiV,Preprints,2016,,1,1,0
A Decision Theoretic Approach to A/B Testing,https://arxiv.org/pdf/1710.03410,ArXiV,ArXiV,Preprints,2017,,0,0,1
Why Adaptively Collected Data Have Negative Bias and How to Correct for It,https://arxiv.org/pdf/1708.01977,ArXiV,ArXiV,Preprints,2017,,0,1,0
Optimal Testing in the Experiment-rich Regime,https://arxiv.org/pdf/1805.11754,ArXiV,ArXiV,Preprints,2018,,0,0,1
"SQR: Balancing Speed, Quality and Risk in Online Experiments",https://arxiv.org/pdf/1801.08532,ArXiV,ArXiV,Preprints,2018,,1,1,0
Testing for arbitrary interference on experimentation platforms,https://arxiv.org/pdf/1704.01190,ArXiV,ArXiV,Preprints,2019,,1,1,0
What is the value of experimentation & measurement?,https://arxiv.org/pdf/1909.03457,ArXiV,ArXiV,Preprints,2019,,1,0,1
Efficient Computation of Linear Model Treatment Effects in an Experimentation Platform,https://arxiv.org/pdf/1910.01305,ArXiV,ArXiV,Preprints,2019,,1,1,0
Multiple Randomization Designs,https://arxiv.org/abs/2112.13495,ArXiV,ArXiV,Preprints,2021,,0,1,0
On Post-selection Inference in A/B Testing,https://arxiv.org/pdf/1910.03788,ArXiV,ArXiV,Preprints,2021,,1,1,0
Quantifying the Value of Iterative Experimentation,https://arxiv.org/pdf/2111.02334,ArXiV,ArXiV,Preprints,2021,,0,0,1
A Common Misassumption in Online Experiments with Machine Learning Models,https://arxiv.org/pdf/2304.10900,ArXiV,ArXiV,Preprints,2023,275,1,1,0
Always Valid Inference: Continuous Monitoring of A/B Tests,https://arxiv.org/pdf/1512.04922,ArXiV,ArXiV,Preprints,2023,,0,1,0
Anytime-Valid Confidence Sequences in an Enterprise A/B Testing Platform,https://arxiv.org/pdf/2302.10108,ArXiV,ArXiV,Preprints,2023,,1,1,0
Estimating the Value of Evidence-Based Decision Making,https://arxiv.org/abs/2306.13681,ArXiV,ArXiV,Preprints,2023,,0,0,1
Evaluating the Surrogate Index as a Decision-Making Tool Using 200 A/B Tests at Netflix,https://arxiv.org/pdf/2311.11922,ArXiV,ArXiV,Preprints,2024,,1,1,0
It’s About Time: What A/B Test Metrics Estimate,https://arxiv.org/pdf/2411.06150,ArXiV,ArXiV,Preprints,2024,,1,1,0
Optimizing Returns from Experimentation Programs,https://arxiv.org/pdf/2412.05508,ArXiV,ArXiV,Preprints,2024,,1,0,1
Post Launch Evaluation of Policies in a High-Dimensional Setting,https://arxiv.org/pdf/2501.00119,ArXiV,ArXiV,Preprints,2024,,0,1,0
Powerful A/B-Testing Metrics and Where to Find Them,https://arxiv.org/pdf/2407.20665,ArXiV,ArXiV,Preprints,2024,,1,1,0
Risk-aware product decisions in A/B tests with multiple metrics,https://arxiv.org/pdf/2402.11609,ArXiV,ArXiV,Preprints,2024,,1,0,1
Balancing Performance and Costs in Best Arm Identification,https://arxiv.org/pdf/2505.20583,ArXiV,ArXiV,Preprints,2025,,0,1,0
Bayesian Predictive Probabilities for Online Experimentation,https://arxiv.org/pdf/2511.06320,ArXiV,ArXiV,Preprints,2025,,1,0,1
Beyond ATE: Multi-Criteria Design for A/B Testing,https://arxiv.org/pdf/2509.05864,ArXiV,ArXiV,Preprints,2025,,0,0,1
Evaluating Decision Rules Across Many Weak Experiments,https://arxiv.org/pdf/2502.08763,ArXiV,ArXiV,Preprints,2025,,1,0,1
Ranking by Lifts: A Cost-Benefit Approach to Large-Scale A/B Tests,https://arxiv.org/pdf/2407.01036,ArXiV,ArXiV,Preprints,2025,,0,1,0
Seesaw Experimentation: A/B Tests with Spillovers,https://arxiv.org/pdf/2411.02085,ArXiV,ArXiV,Preprints,2025,,0,0,1
Straightforward Bayesian A/B testing with Dirichlet posteriors,https://arxiv.org/pdf/2508.08077,ArXiV,ArXiV,Preprints,2025,,1,1,0
Cross-Validated Causal Inference: a Modern Method to Combine Experimental and Observational Data,https://arxiv.org/pdf/2511.00727,ArXiV,ArXiV,Preprints,2025,,0,1,0
Choosing What to Learn: Experimental Design when Combining Experimental with Observational Evidence,https://arxiv.org/pdf/2510.23434,ArXiV,ArXiV,Preprints,2025,,0,1,0
Robust Experimental Design via Generalised Bayesian Inference,https://arxiv.org/pdf/2511.07671,ArXiV,ArXiV,Preprints,2025,,0,1,0
The Identification Power of Combining Experimental and Observational Data for Distributional Treatment Effect Parameters∗,https://arxiv.org/pdf/2508.12206,ArXiV,ArXiV,Preprints,2025,,0,1,0
The Bias-Variance Tradeoff in Long-Term Experimentation,https://arxiv.org/pdf/2511.02792,ArXiV,ArXiV,Preprints,2025,,1,0,1
Collective Experimentation with Correlated Payoffs,https://arxiv.org/pdf/2510.16608,ArXiV,ArXiV,Preprints,2025,,0,0,1
Strategic Experimentation,https://onlinelibrary.wiley.com/doi/10.1111/1468-0262.00022,Econometrica,Econometrica,Economics,2003,,0,0,1
Experimentation and Approval Mechanisms,https://onlinelibrary.wiley.com/doi/10.3982/ECTA17021,Econometrica,Econometrica,Economics,2022,249,0,0,1
Optimal Dynamic Information Acquisition,https://onlinelibrary.wiley.com/doi/10.3982/ECTA17787,Econometrica,Econometrica,Economics,2022,,0,1,0
"Online Experimentation: Benefits, Operational and Methodological Challenges, and Scaling Guide",https://hdsr.mitpress.mit.edu/pub/aj31wj81/release/1,Harvard Data Science Review,Google scholar,Industry,2022,,0,0,1
A framework for Multi-A(rmed)/B(andit) Testing with Online FDR Control,https://proceedings.neurips.cc/paper_files/paper/2017/file/f0204e1d3ee3e4b05de4e2ddbd39e076-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2017,,0,1,0
A Bandit Approach to Multiple Testing with False Discovery Control,https://proceedings.neurips.cc/paper_files/paper/2018/file/82cadb0649a3af4968404c9f6031b233-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2018,,0,1,0
Variational Bayesian Optimal Experimental Design,https://proceedings.neurips.cc/paper_files/paper/2019/file/d55cbf210f175f4a37916eafe6c04f0d-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2019,,1,1,0
A/B Testing in Dense Large-Scale Networks: Design and Inference,https://papers.neurips.cc/paper_files/paper/2020/file/1e0b802d5c0e1e8434a771ba7ff2c301-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2020,,0,1,0
Confidence sequences for sampling without replacement,https://proceedings.neurips.cc/paper/2020/file/e96c7de8f6390b1e6c71556e4e0a4959-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2020,,0,1,0
High-Dimensional Contextual Policy Search with Unknown Context Rewards using Bayesian Optimization,https://proceedings.neurips.cc/paper/2020/file/faff959d885ec0ecf70741a846c34d1d-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2020,,0,1,0
Model Selection for Production System via Automated Online Experiments,https://papers.nips.cc/paper_files/paper/2020/file/0c72cb7ee1512f800abe27823a792d03-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2020,,1,1,0
A/B Testing for Recommender Systems in a Two-sided Marketplace,https://proceedings.neurips.cc/paper_files/paper/2021/file/32e19424b63cc63077a4031b87fb1010-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2021,,0,1,0
Control Variates for Slate Off-Policy Evaluation,https://papers.neurips.cc/paper/2021/file/1e0b802d5c0e1e8434a771ba7ff2c301-Paper.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2021,,0,1,0
Efficient Automated Online Experimentation with Multi-Fidelity,https://openreview.net/pdf?id=c04LDyEm-N4,NeurIPS,Google: site:neuirps.cc,Computer Science,2021,,0,1,0
Anytime-Valid Inference For Multinomial Count Data,https://proceedings.neurips.cc/paper_files/paper/2022/file/12f3bd5d2b7d93eadc1bf508a0872dc2-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2022,,1,1,0
Markovian Interference in Experiments,https://papers.neurips.cc/paper_files/paper/2022/file/03a9a9c1e15850439653bb971a4ad4b3-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2022,,0,1,0
